month,department,budget_revenue,actual_revenue,budget_expense,actual_expense
2024-05,Marketing,446539,415974,199886,228772
2023-07,HR,288913,250166,134313,138475
2023-01,Sales,388295,460407,144377,147926
2024-01,HR,379112,297808,156743,162885
2024-11,Sales,189402,166479,73435,78287
2024-07,Finance,225225,218553,93812,116340
2024-12,HR,326016,264968,146762,177713
2024-07,Finance,112714,127756,39676,46140
2024-05,Finance,699194,771091,292301,395887
2024-01,Marketing,420866,391836,174932,113979
2024-04,HR,50415,58156,19450,19080
2023-08,Sales,650729,763900,390143,408990
2024-07,Sales,686024,676707,220960,209727
2024-06,HR,645067,610181,317944,289499
2023-01,IT,797916,1014272,281131,222775
2024-02,Marketing,154448,167813,85233,85514
2024-07,Marketing,322032,331937,184929,218975
2024-03,Marketing,226371,263411,95176,110983
2024-06,Sales,174790,181122,95617,89610
2023-02,Finance,633053,594642,237377,257088
2024-10,IT,243786,246131,83379,104527
2024-05,Marketing,65935,74153,26028,21394
2024-06,Sales,392775,298877,158092,162229
2023-06,Sales,575608,555712,241299,263733
2024-07,Finance,358176,417621,147528,155126
2023-04,HR,652051,611999,276041,325064
2023-01,HR,350146,415109,179628,148251
2023-08,Marketing,488054,570910,182373,163976
2024-11,Marketing,613200,608378,187377,215915
2023-07,IT,312696,291362,139745,111050
2023-03,Finance,594428,573930,258271,302632
2023-10,Marketing,135591,178946,43120,48185
2023-10,Finance,229809,281500,78167,90774
2024-07,Sales,607655,616798,275253,269639
2024-02,Marketing,261706,242607,96942,109202
2023-02,Sales,598349,606752,337037,294623
2023-01,Operations,408734,420693,143869,142117
2024-11,Finance,534331,454607,163524,172591
2024-11,Operations,445198,449474,193335,176937
2024-06,Marketing,394750,457392,235211,254666
2023-07,Sales,684198,536464,335367,294575
2023-08,Marketing,674351,741239,273927,298661
2023-01,Operations,113474,132194,34616,45391
2024-11,Marketing,734873,685440,327374,282032
2023-03,IT,424340,510608,153585,160744
2024-12,HR,101632,93212,50239,40558
2024-11,Operations,458625,482899,217802,201479
2023-08,Marketing,59529,57337,22595,26103
2024-10,Sales,598442,576395,191899,189098
2024-03,Marketing,82882,76742,43637,50678
2023-05,Sales,619205,671112,294518,324966
2023-03,HR,656776,723673,362959,377594
2024-07,Marketing,589989,585427,222980,199698
2023-01,HR,256353,214517,127114,146539
2024-03,Operations,795231,833704,266882,292401
2023-08,Sales,642513,675050,249001,204378
2023-02,IT,757852,738143,376623,340964
2023-03,Operations,52988,64860,29020,18417
2024-12,Sales,85919,69794,34047,28775
2024-02,HR,553239,406036,298558,299451
2024-12,Finance,753786,687678,379399,338280
2024-02,Marketing,757527,822106,306497,283586
2023-11,HR,59013,51535,33219,41808
2024-04,Sales,482329,425550,218383,263003
2023-04,Sales,708934,789839,350549,331549
2024-08,Sales,57838,61048,25951,30337
2023-05,Sales,81368,85049,35461,43696
2024-10,Marketing,606516,663389,336248,384258
2024-09,Operations,297368,282195,115501,126455
2024-02,IT,358241,341948,111408,135332
2024-11,Finance,236845,259860,133565,155660
2024-04,Marketing,458039,384117,250779,217685
2024-06,Sales,728870,541458,298813,305285
2023-07,Marketing,179802,170453,63943,61845
2023-10,HR,316579,351942,159131,194596
2023-07,IT,107955,111265,34937,33642
2023-01,Sales,371651,409884,158741,148767
2024-11,Finance,101033,76587,32912,39626
2024-09,Sales,791449,821412,379399,413146
2024-07,IT,676300,729365,208410,284847
2024-04,Finance,97219,81460,47517,43747
2024-07,IT,739837,816370,371369,361035
2023-04,Finance,532996,525863,237792,289700
2024-06,Operations,748081,1023794,263700,226290
2023-02,Operations,248300,183427,82042,102384
2023-01,Marketing,458739,534106,180737,157039
2024-03,Marketing,606614,577921,266644,304383
2023-05,Finance,424770,342339,209268,161877
2024-08,Sales,223277,209158,67066,70873
2023-11,HR,416540,430409,213817,180583
2023-10,HR,66375,74638,34104,45663
2023-02,Sales,183783,221759,79644,70823
2023-03,Sales,321326,376152,129501,119875
2024-11,Operations,667465,590141,368902,416975
2024-11,HR,669354,760131,358356,343970
2023-12,Finance,484166,506899,288070,332718
2024-08,IT,193992,178753,79843,75321
2023-05,Marketing,596432,581265,341188,317921
2023-05,IT,170270,155766,55545,58092
2023-06,Operations,789778,793293,334423,290098
2023-09,HR,707925,645939,311212,345275
2023-02,Sales,138909,121773,60045,70948
2024-09,HR,497158,525741,242379,274603
2023-12,Finance,251632,270617,88338,101278
2023-03,Operations,704949,689079,394726,300493
2024-08,Sales,345943,402718,161046,157946
2024-10,IT,509993,494054,291340,295984
2023-12,Finance,84510,81439,25419,32235
2024-12,IT,547229,590601,267593,257639
2024-05,Marketing,137919,135727,58441,41185
2023-10,Operations,163043,164702,73618,66212
2024-12,Finance,782726,545988,409476,389338
2024-02,Finance,472191,473137,173835,126295
2024-11,IT,365386,285270,132076,157871
2024-05,Sales,96546,82400,49325,40178
2024-06,Marketing,535303,449526,244317,272878
2024-07,IT,728627,637468,269658,238954
2024-05,Finance,530265,495340,236076,301244
2024-02,Operations,181235,170654,79356,80036
2023-09,Finance,282686,305219,143444,140307
2023-08,HR,364684,374416,109696,123872
2023-02,Operations,526131,406105,250453,225133
2024-01,Operations,294367,297309,141797,161128
2023-07,Finance,105313,109334,55147,53919
2023-09,Sales,79870,76720,45267,43492
2024-10,Operations,174703,173426,75481,78263
2024-10,HR,472698,483493,190381,168782
2023-11,IT,369399,403292,122158,124768
2024-02,Sales,692240,561416,277623,305641
2023-04,Sales,508146,493248,162883,114618
2024-01,Sales,493716,583078,267024,324085
2023-02,Operations,511003,597873,277015,324771
2024-11,Sales,335818,370109,142780,110199
2023-05,Finance,711950,757813,269040,201358
2023-11,Sales,352570,422574,118254,139100
2023-06,HR,99584,122502,55306,64413
2024-06,Marketing,793023,780739,446669,510745
2024-09,HR,743375,656896,282398,236073
2023-10,Operations,647539,626536,315045,417212
2023-04,Sales,119353,163704,45067,42216
2023-09,Sales,132990,107944,48878,53077
2023-06,Finance,730050,688827,223659,243288
2023-02,IT,682574,566862,322958,416273
2024-05,Sales,345906,351084,119331,127538
2023-05,HR,431150,368925,130945,145660
2023-06,Operations,742859,733164,246224,255686
2023-12,Marketing,531204,406896,209363,182252
2024-11,Sales,450886,484303,225780,158542
2024-09,Marketing,267759,307034,96603,101905
2023-10,Sales,591629,564370,335025,280799
2024-10,Operations,145140,142786,56103,61855
2024-09,IT,67015,65700,26763,28698
2023-06,HR,698869,714040,255361,272895
2023-08,Operations,760557,757073,286077,255198
2023-02,Marketing,99849,109052,32175,38786
2023-12,Sales,426863,490023,165806,185904
2024-01,Marketing,65852,59419,36737,32062
2024-09,HR,629649,606276,318934,433840
2023-07,Operations,423938,469805,238499,242882
2023-10,Marketing,726618,602656,240843,204682
2024-01,Marketing,636643,486085,278012,260287
2024-05,HR,436917,448782,161124,132712
2024-09,Sales,514944,545614,265898,333413
2024-02,Marketing,77410,70700,45754,55456
2023-02,HR,253014,235445,137793,159966
2024-10,Sales,608212,552729,188900,213961
2023-11,IT,455480,408095,179913,222597
2023-01,Sales,340182,368491,104971,106409
2024-07,IT,285530,245081,89099,99202
2024-09,Operations,321280,311043,104048,96579
2023-04,HR,325357,290010,124578,127939
2024-07,Sales,258680,213505,101211,113104
2024-09,IT,158546,175101,66610,39155
2023-11,IT,544805,510820,229624,219760
2023-08,Operations,601719,615325,319767,343668
2023-11,Finance,92290,75588,31602,32814
2023-04,HR,528751,481674,183646,180366
2024-05,Finance,180374,196739,88018,100197
2023-07,Sales,92747,121542,43732,41276
2023-08,HR,650262,496055,225121,195115
2023-03,Operations,774568,755875,430411,528357
2024-10,Sales,703420,738220,280466,338353
2023-02,HR,385138,356663,157941,151643
2024-11,HR,789435,869912,336408,349761
2024-03,Finance,720247,645335,285801,336358
2024-12,Sales,569116,579622,265911,280962
2024-10,Operations,574339,538357,239266,270258
2024-10,Operations,513142,588230,193880,217404
2023-05,Sales,266643,245001,152344,152667
2024-12,Sales,303116,290316,118974,134129
2023-01,IT,340635,379291,173569,157124
2023-04,Marketing,609168,534018,246206,273077
2024-03,Finance,241037,243025,103782,107817
2024-08,Sales,423200,330644,156915,156270
2024-07,Sales,97361,84650,51182,44169
2023-03,Marketing,399829,418163,208375,222908
2024-08,Marketing,144841,127621,44418,46895
2023-11,HR,772250,721784,245620,226966
2024-05,Operations,512506,542831,295568,239548
2024-01,Finance,564136,524927,319666,256796
2023-11,HR,565750,621612,255620,258659
2023-02,Sales,607293,623009,272071,298182
2023-09,Marketing,287903,302955,156540,207806
2023-02,IT,639759,735029,218500,227945
2024-09,Operations,701006,727909,347775,280373
2023-09,HR,156379,185256,69243,70556
2023-09,IT,714051,792133,373448,462218
2023-08,Operations,59756,56002,18466,17498
2024-05,IT,697958,806265,333496,406128
2023-01,Marketing,114079,117691,53276,57344
2023-11,HR,639812,609509,353339,405291
2023-08,HR,503682,520508,253377,336694
2023-10,Operations,583615,661515,329186,254925
2023-07,IT,224380,236632,127039,150474
2023-03,Marketing,155561,189580,65716,68068
2023-03,Sales,406580,459591,138737,125920
2024-06,HR,66533,70709,32540,33675
2023-05,Sales,571970,501544,321517,419144
2023-12,Marketing,147417,144237,47539,59435
2023-12,HR,405462,408948,189503,142106
2024-07,HR,749848,812532,250824,234401
2023-06,IT,772520,831602,238012,283575
2023-02,Sales,90429,92268,45566,47695
2023-12,IT,494942,502089,249725,261536
2024-07,Finance,398492,432943,191354,155905
2023-05,Sales,463869,416076,258730,242734
2023-12,Sales,587942,707565,190647,161338
2024-05,Finance,445324,335925,147659,118422
2024-05,Marketing,381627,448277,213467,183867
2023-10,Marketing,582187,579030,262556,239132
2024-11,HR,194444,217837,74261,69495
2024-05,Operations,480898,501894,250762,231623
2024-03,IT,511015,532234,290420,349395
2023-12,Operations,666012,710308,337588,308531
2024-04,HR,79295,86993,42627,53877
2024-12,Operations,509329,489231,195963,191534
2024-07,Sales,392709,441473,151834,169428
2023-08,Sales,99574,86615,55685,62404
2024-09,Finance,413211,412946,200183,183232
2024-05,Finance,246006,270684,91083,91154
2024-11,HR,80066,89626,36610,35678
2023-05,HR,264221,278831,133631,147777
2024-10,HR,790456,753140,288962,297825
2024-04,Sales,190017,210463,94338,88464
2023-06,Operations,79418,73038,24829,26513
2023-08,IT,132607,160476,51863,57098
2024-06,HR,624162,617820,313448,416104
2023-12,HR,460346,375294,158729,168287
2024-03,Sales,180538,154655,66196,69605
2023-09,IT,263699,265080,148654,165639
2024-01,Sales,262465,266868,131835,119652
2024-03,IT,484610,599151,217917,172410
2023-10,Sales,554588,485475,201464,202105
2024-04,Operations,623923,626877,251080,304011
2023-07,HR,307470,268381,145217,179347
2024-05,Marketing,411981,387625,142790,109675
2024-11,Marketing,263161,316339,116981,134517
2024-09,HR,329548,284610,139297,100611
2024-10,HR,646917,692489,286588,320656
2023-07,HR,63156,66133,20946,23248
2024-02,HR,498834,497387,165587,131046
2024-03,IT,99999,106232,58922,70706
2024-09,Operations,457001,393385,271371,355923
2023-07,Marketing,229431,275032,98161,102149
2023-09,Finance,534023,657372,286609,307001
2024-07,Marketing,326838,328685,162352,206490
2024-04,Marketing,238302,307593,79849,70350
2023-08,Sales,82799,78834,32209,28499
2024-06,HR,192228,201464,75756,70005
2024-11,HR,352789,413407,168891,178274
2024-06,HR,744298,703301,352792,372252
2024-08,Sales,500198,417272,288640,279116
2023-07,Operations,389758,314376,209304,210335
2023-03,Operations,272686,340121,151900,147200
2024-06,Finance,183387,171745,104048,101574
2023-10,Operations,278339,272135,150409,140590
2023-07,Operations,62420,54084,24959,23359
2024-05,HR,330456,368062,120452,90321
2024-02,IT,352445,319390,166188,168921
2024-12,Marketing,301985,284182,153067,115820
2023-03,Operations,96972,100457,40337,46895
2023-12,Operations,637582,556172,353540,341523
2024-01,Sales,130853,128048,76963,79432
2023-02,Finance,694423,811270,326947,324991
2023-03,IT,132504,139313,57901,58675
2023-05,Sales,171373,174057,94746,117438
2023-11,HR,382924,392797,117665,99694
2023-08,Marketing,474145,452004,160594,129519
2024-11,Finance,418602,518873,231778,247517
2024-11,Sales,559652,505108,290799,283708
2023-12,Operations,375764,385275,159639,176232
2023-07,Operations,646842,655770,366536,424260
2024-03,Finance,453837,508774,184002,162666
2024-12,Operations,167781,189991,82238,93793
2024-05,Sales,575261,573050,282050,252916
2023-04,Sales,290210,300332,103111,109419
2024-10,Operations,154919,161026,59714,51620
2024-01,Operations,87097,63349,50063,53558
2024-06,HR,171403,138720,60852,63704
2023-01,Marketing,770571,714621,271296,239977
2024-04,Finance,629129,586730,279260,236320
2024-01,Sales,599634,513338,196475,228421
2023-10,Finance,679921,741079,386458,379521
2023-12,HR,646268,646432,213297,256341
2023-02,Sales,140417,136799,68097,65951
2024-11,HR,492369,418149,197900,246450
2023-03,HR,180017,179054,97439,88449
2023-10,IT,507582,347591,242087,307671
2023-02,Operations,192003,188248,79967,86056
2024-11,IT,713062,718468,424387,471056
2024-01,Finance,659122,678256,210832,189621
2024-01,Finance,639540,519503,302717,350964
2024-06,Operations,96904,99518,57839,67358
2023-03,IT,102320,89532,51905,51974
2023-07,Finance,343144,309688,179097,130723
2024-02,IT,145341,157862,45001,39735
2024-08,Operations,399780,496404,122496,108161
2024-05,Sales,790079,794948,245582,274414
2024-09,HR,761525,686856,455024,446035
2023-12,HR,239927,245359,142482,140082
2024-04,IT,284849,316946,114040,110054
2024-12,Finance,574306,617103,222425,282567
2023-12,IT,181930,241816,62545,66097
2024-03,IT,469208,428930,187092,201995
2023-10,Marketing,475796,490197,195573,187181
2023-07,HR,383060,454259,200909,210061
2024-08,Operations,741160,873337,414966,374982
2023-05,IT,633058,484916,331735,365425
2023-01,Marketing,265523,265416,131153,115154
2024-05,Marketing,286847,337946,151962,176524
2023-03,HR,194015,261314,101188,95092
2024-01,HR,546383,592528,241897,288403
2024-02,HR,152342,145617,61051,81569
2024-12,Operations,635745,558753,244656,256929
2024-06,Marketing,568327,719643,286326,356974
2023-04,Finance,330980,359923,194547,226203
2024-06,Operations,549584,493653,260676,217686
2023-05,Sales,384302,374933,220496,235189
2024-04,IT,567912,589051,172797,194427
2023-01,HR,436804,465308,235149,267989
2024-09,Marketing,684887,610950,380852,410075
2024-02,IT,174221,161380,85246,91622
2024-03,Operations,299222,239870,173614,182427
2023-09,Sales,127318,143203,60727,64976
2024-03,Operations,382306,366633,142279,123277
2024-05,Operations,466656,492769,170196,172675
2024-12,Finance,364856,427126,170296,141695
2023-04,IT,421722,432848,241201,235256
2023-12,Finance,564021,556374,181451,174443
2023-05,Operations,753016,770539,362439,344969
2023-05,Sales,711949,717347,378002,337252
2023-11,Marketing,597521,686874,199942,218015
2023-06,Marketing,216083,224143,72394,72559
2023-07,IT,573099,535659,234877,231808
2024-12,HR,215600,242709,82394,69117
2024-02,HR,688794,790500,247617,248934
2024-12,Marketing,635639,533555,228581,279287
2023-11,Operations,500047,592022,169616,207630
2024-01,Operations,626115,653517,302573,334653
2023-02,Finance,466724,482589,236366,237719
2023-07,IT,654789,733884,334519,379293
2024-08,Finance,118772,110691,54600,51864
2023-04,HR,589899,657442,345605,347371
2023-08,Marketing,203354,194159,114724,107682
2024-08,Operations,786725,647479,462035,548091
2024-10,Marketing,517432,455479,215582,251584
2024-09,Sales,192412,205504,108392,113247
2024-07,Marketing,408773,362395,216184,283133
2024-01,Sales,398787,475836,160309,178243
2024-02,Finance,420754,480801,139681,154128
2023-10,Finance,133035,154322,67154,73021
2023-11,HR,683610,693845,233067,200590
2023-02,Marketing,461476,475755,179113,164042
2023-09,Marketing,104515,89543,47043,49009
2024-05,Sales,795812,890906,401061,418323
2023-03,Finance,159446,166713,92138,104895
2024-12,Sales,604768,645938,289062,274556
2023-06,Finance,757887,911432,380022,403052
2023-05,Sales,109789,101805,43147,45877
2023-05,Finance,757262,745799,383316,409852
2024-10,Sales,82191,85412,35452,37311
2024-03,Finance,633776,562633,353063,296369
2024-11,IT,780442,762872,326018,231739
2024-05,Sales,217116,229959,95635,86906
2023-09,Marketing,754960,725478,324463,314836
2023-03,HR,754136,872594,409749,357806
2024-08,IT,554703,454129,325116,338656
2024-05,IT,648813,736229,258346,313507
2023-10,Sales,588028,634683,260207,301555
2023-03,HR,718462,669420,367692,411796
2024-06,Marketing,261965,232905,148957,178420
2024-06,IT,494550,371093,221612,201956
2024-05,Marketing,163917,148275,54529,53519
2024-12,Finance,675918,760854,277532,317004
2023-03,HR,599509,595474,278836,272930
2023-03,Operations,113265,129072,48166,47541
2023-06,Finance,575007,532235,204683,272097
2024-01,HR,264514,286958,82289,87581
2024-12,Sales,182141,166458,92203,121204
2024-03,Sales,629002,556120,376030,291989
2023-09,Marketing,123285,121700,70982,67814
2023-04,IT,325079,299139,164158,182432
2024-02,Operations,546407,445245,301867,321204
2023-05,Sales,618323,604795,232933,172758
2023-02,HR,438831,444435,213592,216916
2023-11,IT,471153,542863,149912,213017
2023-09,IT,330684,367858,169361,184101
2024-12,HR,647768,742596,382806,436653
2023-03,IT,128283,139372,71612,68275
2023-09,Sales,781401,812589,359704,390815
2023-03,HR,520449,443696,279284,292731
2023-02,HR,196293,199823,114472,139406
2023-12,Marketing,366925,393202,133856,162374
2023-10,Operations,581375,683053,312766,347522
2023-09,Marketing,334933,362516,127594,135331
2024-03,Operations,499239,573548,281113,224365
2023-08,HR,476616,417591,157047,124523
2023-05,IT,707559,679843,250097,265674
2023-11,Operations,228388,240155,117890,139251
2023-02,HR,495278,564277,174552,218148
2024-12,HR,165310,162429,57431,52637
2024-03,Marketing,514825,509731,240237,197862
2023-06,Marketing,197816,214127,108896,129580
2023-08,IT,519311,449149,197618,183349
2023-05,Finance,236589,282224,130677,106297
2024-04,Sales,148231,132593,80398,78464
2024-06,Finance,754225,580579,357300,347772
2023-06,Finance,517153,517777,255457,318816
2023-05,IT,782555,942051,244260,288188
2024-04,Operations,550642,589393,225840,212152
2024-01,IT,588182,641195,222931,280824
2023-05,IT,472376,474721,162970,174174
2024-01,HR,365239,358560,152267,184109
2024-05,HR,603560,491666,245329,306434
2024-06,HR,628309,457957,325883,329340
2023-08,Sales,271120,277505,129982,147620
2024-01,Operations,83645,96819,48006,47477
2024-07,Operations,71179,74118,24458,29093
2023-03,HR,584979,628754,185979,197796
2024-12,Finance,703724,837464,323982,386850
2023-08,Sales,310005,322235,93097,119044
2023-02,Finance,262718,258851,140899,159509
2023-08,Marketing,281899,254210,127359,131941
2024-01,Operations,357455,444196,159574,165713
2024-01,Operations,407525,433274,166575,101018
2023-01,Finance,220110,195186,90793,85625
2023-06,Sales,602766,518053,258791,307931
2024-12,Operations,498991,574023,152097,181829
2024-07,Finance,352476,308595,114577,107681
2024-04,IT,642145,784996,289937,311591
2023-08,IT,95900,64178,33089,33804
2023-01,Sales,271141,317427,144688,166888
2024-04,Finance,176861,187194,67622,93405
2023-09,IT,615386,624143,202689,234363
2024-01,Sales,582582,570315,215883,204975
2023-11,HR,767940,942176,312651,324605
2024-01,Sales,219173,237769,68074,85792
2024-09,Marketing,206131,183789,70600,59212
2023-10,HR,594991,472262,236303,226317
2023-04,Finance,504633,515369,198393,229440
2023-06,HR,764588,764489,412966,513791
2023-07,HR,708565,579333,391819,447200
2023-05,Finance,478145,474966,171188,164168
2023-11,Finance,785882,731756,264985,299560
2024-01,IT,585916,586569,287244,319456
2024-07,Marketing,677943,736999,367029,404694
2024-11,Finance,251161,296147,147963,153206
2023-10,Operations,318662,353417,96248,101825
2023-10,Operations,219563,200554,93117,85097
2023-11,Marketing,189018,197385,98326,139822
2024-09,Sales,574898,579251,315370,338565
2023-07,Sales,513054,431039,163503,185130
2024-06,Operations,346455,363011,174677,177701
2023-04,Finance,176419,215725,68217,80277
2023-02,Marketing,280842,281934,90537,77430
2024-02,Sales,523408,423279,233822,184288
2024-01,Sales,285612,286649,99234,103742
2023-12,HR,293095,250407,152732,207426
2023-07,Operations,573111,632504,299380,368611
2023-02,Finance,756658,804315,418144,388344
2024-01,Marketing,396336,388207,163794,184663
2024-02,Sales,616099,591615,187289,178786
2024-05,HR,644360,627949,243517,271268
2023-09,Operations,689695,690379,303702,341864
2024-05,Operations,300440,272598,152684,181536
2023-08,Marketing,92974,77491,38548,31422
2023-02,Sales,725216,824312,334190,287457
2024-12,Marketing,545162,519949,249291,258929
2024-01,Marketing,656271,669426,229363,205311
2023-03,IT,357967,370221,174299,154000
2024-04,HR,411007,426889,177462,193571
2023-06,Operations,517613,444702,280740,256201
2024-07,IT,266886,213215,135360,187967
2023-07,Finance,117078,108807,39038,37867
2023-10,Operations,642239,672735,286841,289556
2023-09,Operations,193977,177032,99073,108448
2023-02,HR,563994,539973,183920,151514
2024-03,Finance,153691,192924,82647,93083
2023-05,Sales,268171,208784,98311,108262
2024-10,Finance,746315,678695,336532,335725
2023-04,Sales,253251,310889,147434,160863
2024-08,Finance,622723,619390,293551,327086
2023-04,Marketing,323390,295992,138157,174807
2024-06,Finance,314602,358725,95021,135408
2023-04,IT,569161,572933,193528,172389
2024-05,IT,239579,229565,113464,97056
2023-12,HR,56028,57321,25108,26750
2024-10,Sales,284823,262329,116534,86020
2024-05,Operations,169247,148582,97649,112043
2023-10,HR,364045,359082,145525,155269
2024-10,IT,281324,247193,129731,143364
2023-01,IT,711666,712579,334919,336414
2024-10,Sales,549612,572986,251854,274080
2024-12,IT,324507,357725,143846,161227
2024-06,IT,719426,816801,288575,311662
2024-06,Sales,113804,108263,65167,55276
2024-02,IT,164433,174287,71567,76991
2024-03,Operations,98544,104368,45185,60009
2023-12,Marketing,50189,52163,24941,27089
2023-04,HR,301768,284405,96655,103474
2023-03,Operations,57482,50390,30717,39440
2024-08,Operations,533304,565430,241987,227021
2023-12,Marketing,575087,457295,285906,338355
2023-07,HR,695979,673609,369984,359060
2023-11,Operations,453150,314288,254774,309037
2023-01,IT,369702,310413,154412,180616
2023-06,Marketing,371367,332278,201811,199421
2024-03,HR,789980,893946,298336,301350
2024-03,Finance,353700,382906,176178,210827
2024-07,Sales,453125,423004,149899,115674
2023-11,IT,141467,153848,43290,42584
2024-11,Marketing,665692,736598,218832,250138
2023-02,Sales,93558,91754,37031,37171
2024-02,Finance,784742,654376,242742,259789
2023-02,Operations,268865,262156,131514,97823
2023-04,Operations,471229,465693,186118,171568
2024-05,HR,153018,130387,79709,91818
2023-03,Marketing,203947,212929,63993,59983
2024-01,Marketing,271325,280435,99036,84639
2023-09,HR,585696,616975,247398,299163
2023-07,Sales,85607,88472,35509,40031
2024-03,Operations,111684,121465,37894,33601
2024-11,Operations,479497,469178,286854,307156
2023-11,Marketing,587889,602124,226532,201977
2024-08,Marketing,698882,665525,360839,370628
2023-02,HR,728101,677032,266490,286849
2024-03,Finance,586201,680338,330239,306701
2024-02,Sales,60101,45361,25021,29058
2024-08,IT,199703,220713,113884,134907
2024-10,Finance,777444,719551,312960,340980
2023-11,Finance,677108,616165,204888,227855
2023-03,Marketing,480086,495155,218490,181800
2024-05,Marketing,754345,619503,345064,432823
2023-12,Marketing,470431,424365,158041,163778
2024-12,Finance,636398,571551,235778,214489
2024-09,Sales,69215,67376,37033,39694
2024-03,Marketing,796478,719620,247725,287811
2024-04,Operations,719384,857602,321462,362240
2023-05,Sales,126949,154324,58285,51716
2024-08,Operations,750843,568659,380387,442635
2023-06,Sales,259229,276161,80681,83980
2024-07,Marketing,453727,500478,215835,242853
2023-05,IT,696186,741548,209502,194788
2023-03,HR,715918,659379,271729,327946
2023-01,Marketing,540987,525140,243392,262232
2023-06,Finance,574814,523199,329589,404841
2024-03,IT,560711,532433,189507,155352
2023-02,Finance,567291,484922,198998,167115
2023-03,Sales,576041,568106,288466,292503
2024-05,Finance,469464,384802,193634,245943
2024-12,IT,335410,327354,163353,219615
2023-12,IT,638843,543125,382817,350942
2024-06,Marketing,112995,115799,67351,71254
2024-03,Operations,264646,243069,107476,115351
2023-12,Marketing,652565,675319,294422,340859
2024-04,Sales,513593,580252,293470,347099
2023-08,Finance,676633,805689,221699,195724
2024-02,Operations,408255,284406,177873,188490
2024-05,HR,639690,575654,264366,197936
2024-09,IT,304799,293713,118403,138723
2023-08,Operations,435891,459969,260776,260569
2024-03,Operations,222805,178680,115873,100715
2024-02,Marketing,588706,519326,245269,269766
2024-06,HR,304494,309257,167077,166161
2024-08,IT,349329,352887,156115,193460
2023-07,Sales,91745,95902,51546,47221
2023-03,Sales,798777,841304,303466,419827
2023-12,Operations,759147,789992,278667,328320
2024-09,Operations,757395,774995,283406,352317
2024-12,Finance,399948,402623,184593,165335
2023-03,HR,480569,518904,186169,245420
2024-08,IT,423199,309477,145637,126430
2024-02,Operations,169097,200434,101185,103059
2024-03,Finance,98302,72297,56044,69813
2024-02,HR,696849,606607,341807,384879
2023-07,IT,782339,761050,443948,383626
2024-05,Sales,465651,503235,270375,329941
2023-12,Finance,632016,404849,317798,349893
2024-08,HR,261929,261045,119335,117851
2023-04,Finance,194121,212579,109600,89729
2023-09,Operations,631481,706843,297010,331229
2023-06,Marketing,740944,678942,250468,256851
2024-04,Sales,378778,365104,155320,166727
2024-10,Operations,588967,545420,255479,207505
2024-10,Operations,346649,330314,201268,198692
2024-09,HR,363485,318478,180926,203007
2024-09,Finance,544285,486204,306205,407702
2023-02,Sales,624662,657222,329370,335696
2024-12,Operations,236773,240512,93041,117835
2023-08,HR,225931,239258,116492,136074
2023-11,Sales,439347,450630,157545,170946
2024-01,Finance,607466,658809,256620,230482
2024-05,Operations,462545,511290,250619,226666
2023-08,IT,500470,395868,242016,276535
2024-09,Operations,284162,255030,155613,151104
2024-06,Operations,419517,407869,157910,151229
2024-06,Sales,558690,557169,293270,299988
2024-02,Sales,265101,243783,95621,98052
2024-03,Sales,268438,297816,124445,147481
2023-06,Sales,678427,839617,291764,284229
2023-11,HR,150290,153647,70176,82118
2024-01,Marketing,550590,556162,187564,209313
2023-01,HR,221140,243681,90306,72145
2023-06,Operations,108951,84556,54483,59613
2023-09,HR,399773,401138,186917,121465
2023-08,Finance,478387,534589,222302,203565
2023-11,IT,713622,658545,323448,362087
2024-10,Sales,201857,172146,117716,123413
2024-07,Finance,393367,384596,228298,179171
2024-12,IT,566857,562729,231302,204037
2023-09,Finance,619931,552334,251424,165603
2024-05,Operations,248729,311294,116024,98459
2023-12,Sales,577870,544675,189935,215929
2024-02,Finance,687069,591951,268576,259547
2024-03,Operations,678292,670671,250466,269374
2024-04,Sales,614288,681210,225454,237188
2024-10,Marketing,676880,678294,332721,350983
2024-10,Operations,540424,571915,224440,270106
2024-08,HR,51085,45742,17948,18299
2023-01,Sales,503017,592816,284844,337995
2023-10,Finance,242811,259177,136519,92614
2023-08,IT,569362,640944,318124,387065
2024-06,Finance,779541,813699,325242,278565
2023-01,HR,484812,532801,153731,136675
2023-02,HR,560252,501556,186016,175656
2023-01,Finance,522519,491706,200027,242548
2023-01,IT,757548,879950,277255,254133
2023-09,Sales,338969,402413,190566,181345
2024-01,Operations,716273,617679,426832,386601
2023-01,HR,262823,270699,143239,155888
2024-01,HR,134269,127325,69679,80935
2024-08,HR,104895,96121,49991,65270
2024-10,IT,447648,462948,237688,335133
2023-07,Marketing,286641,325886,167429,192129
2023-02,IT,449319,473671,215854,238485
2023-06,Sales,552532,531347,191388,166009
2023-07,Sales,379711,403170,132578,177176
2024-02,Sales,374857,358664,178116,192776
2024-06,Sales,264241,277308,105707,106408
2024-03,Sales,632927,738990,362714,401934
2023-02,Finance,531944,399352,257191,245500
2023-10,HR,415747,455521,209099,146233
2024-11,IT,128488,104757,38770,44033
2023-12,Finance,405049,464752,182132,227914
2024-05,IT,544614,502982,233829,265054
2023-08,Marketing,315121,269075,161266,169158
2023-11,Operations,285101,308887,118257,124405
2023-03,HR,366785,382813,217493,233988
2023-06,Marketing,444484,391189,222713,238580
2023-09,Finance,628719,534184,313086,325889
